text,label,mensaje_limpio
No está pasando nada genial. Adiós,0,No está pasando nada genial. Adiós
"No lo haré. Entonces, ¿qué pasa con los chicos?",0,No lo haré. Entonces qué pasa con los chicos
"Ok, k..sry, conozco 2 siva..tats y pregunté..",0,Ok k..sry conozco 2 siva..tats y pregunté..
Dónde estás ? A qué te dedicas ? ¿Cómo puedes soportar estar lejos de mí? ¿No te duele el corazón sin mí? ¿No te sorprendes de mí? ¿No me anhelas?,0,Dónde estás A qué te dedicas Cómo puedes soportar estar lejos de mí No te duele el corazón sin mí No te sorprendes de mí No me anhelas
¿Aún no has terminado de trabajar o algo así?,0,Aún no has terminado de trabajar o algo así
Hhahhaahahah rofl wtf nig estaba leonardo en tu habitación o algo así,0,Hhahhaahahah rofl wtf nig estaba leonardo en tu habitación o algo así
¿QUIERES SUBIR 2 J?,0,QUIERES SUBIR 2 J
"Hola, lo siento, no tenía señal. No lo he visto ni oído nada de él y tampoco lo he visto, ¡lo cual es inusual en sí mismo! ¡Me encargaré del caso y haré que él lo solucione! Abrazos y besos.",0,Hola lo siento no tenía señal. No lo he visto ni oído nada de él y tampoco lo he visto lo cual es inusual en sí mismo Me encargaré del caso y haré que él lo solucione Abrazos y besos.
Ya estamos afuera.,0,Ya estamos afuera.
¿Cómo es tu agenda la próxima semana? Estoy fuera de la ciudad este fin de semana.,0,Cómo es tu agenda la próxima semana Estoy fuera de la ciudad este fin de semana.
"Buenos días, hoy llego 1 hora tarde.",0,Buenos días hoy llego 1 hora tarde.
"Dizzamn, bien, le preguntaré a mis compañeros de suite cuando regrese.",0,Dizzamn bien le preguntaré a mis compañeros de suite cuando regrese.
"¿Por qué debemos sentarnos y esperar los días de verano para celebrar? Qué visión tan mágica cuando los mundos se visten de blanco. Ooooh, que haya nieve.",0,Por qué debemos sentarnos y esperar los días de verano para celebrar Qué visión tan mágica cuando los mundos se visten de blanco. Ooooh que haya nieve.
Por favor llámame papá. Qué sucedió.,0,Por favor llámame papá. Qué sucedió.
¿Estás despierto? ¿Hay nieve allí?,0,Estás despierto Hay nieve allí
No. Desde que Ayo viajó se olvidó de su chico.,0,No. Desde que Ayo viajó se olvidó de su chico.
"La amistad no es un juego para jugar, no es una palabra que decir, no comienza en marzo y termina en mayo, es mañana, ayer, hoy y e.",0,La amistad no es un juego para jugar no es una palabra que decir no comienza en marzo y termina en mayo es mañana ayer hoy y e.
Jajaja tienes razón. ¿Qué dieta? Todos los días hago trampa de todos modos. Estoy destinado a ser un gordito :(,0,Jajaja tienes razón. Qué dieta Todos los días hago trampa de todos modos. Estoy destinado a ser un gordito :
Jaja... De verdad oh no... ¿Cómo? ¿Entonces te descontarán la lección tmr?,0,Jaja... De verdad oh no... Cómo Entonces te descontarán la lección tmr
¿Cómo estás? ¿Tienes planeada alguna actividad emocionante tipo karaoke? Estoy debatiendo si jugar al fútbol esta noche. Aunque me siento perezoso.,0,Cómo estás Tienes planeada alguna actividad emocionante tipo karaoke Estoy debatiendo si jugar al fútbol esta noche. Aunque me siento perezoso.
Excelente. Me estaba preocupando por ti. Solo debes saber que una persona maravillosa y cariñosa como tú solo tendrá lo mejor en la vida. Sepa que eres maravilloso y que el amor de Dios es tuyo.,0,Excelente. Me estaba preocupando por ti. Solo debes saber que una persona maravillosa y cariñosa como tú solo tendrá lo mejor en la vida. Sepa que eres maravilloso y que el amor de Dios es tuyo.
¿Cómo te enteraste de una manera que no incluía todos estos detalles?,0,Cómo te enteraste de una manera que no incluía todos estos detalles
Bien. Usted sabe lo que quiero decir. mensajes de texto,0,Bien. Usted sabe lo que quiero decir. mensajes de texto
Hace sol en California. El clima es simplemente fresco,0,Hace sol en California. El clima es simplemente fresco
"Ummmmmaah Muchos, muchos felices regresos del día d mi querido y dulce corazón.. FELIZ CUMPLEAÑOS querido",0,Ummmmmaah Muchos muchos felices regresos del día d mi querido y dulce corazón.. FELIZ CUMPLEAÑOS querido
Papá salió oredi...,0,Papá salió oredi...
Corto pero lindo: \Sé una buena persona,0,Corto pero lindo: Sé una buena persona
¿Iré a la explanada de casa?,0,Iré a la explanada de casa
"Moji, te amo más que las palabras. Que tengas un rico dia",0,Moji te amo más que las palabras. Que tengas un rico dia
Estaré afuera de la oficina y tomaré todo desde allí.,0,Estaré afuera de la oficina y tomaré todo desde allí.
