text,label,mensaje_limpio,tokens
No está pasando nada genial. Adiós,0,No está pasando nada genial. Adiós,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"No lo haré. Entonces, ¿qué pasa con los chicos?",0,No lo haré. Entonces qué pasa con los chicos,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Ok, k..sry, conozco 2 siva..tats y pregunté..",0,Ok k..sry conozco 2 siva..tats y pregunté..,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Dónde estás ? A qué te dedicas ? ¿Cómo puedes soportar estar lejos de mí? ¿No te duele el corazón sin mí? ¿No te sorprendes de mí? ¿No me anhelas?,0,Dónde estás A qué te dedicas Cómo puedes soportar estar lejos de mí No te duele el corazón sin mí No te sorprendes de mí No me anhelas,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿Aún no has terminado de trabajar o algo así?,0,Aún no has terminado de trabajar o algo así,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Hhahhaahahah rofl wtf nig estaba leonardo en tu habitación o algo así,0,Hhahhaahahah rofl wtf nig estaba leonardo en tu habitación o algo así,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿QUIERES SUBIR 2 J?,0,QUIERES SUBIR 2 J,"['CAPS', 'CAPS', 'WORD', 'WORD']"
"Hola, lo siento, no tenía señal. No lo he visto ni oído nada de él y tampoco lo he visto, ¡lo cual es inusual en sí mismo! ¡Me encargaré del caso y haré que él lo solucione! Abrazos y besos.",0,Hola lo siento no tenía señal. No lo he visto ni oído nada de él y tampoco lo he visto lo cual es inusual en sí mismo Me encargaré del caso y haré que él lo solucione Abrazos y besos.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Ya estamos afuera.,0,Ya estamos afuera.,"['WORD', 'WORD', 'WORD']"
¿Cómo es tu agenda la próxima semana? Estoy fuera de la ciudad este fin de semana.,0,Cómo es tu agenda la próxima semana Estoy fuera de la ciudad este fin de semana.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Buenos días, hoy llego 1 hora tarde.",0,Buenos días hoy llego 1 hora tarde.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"Dizzamn, bien, le preguntaré a mis compañeros de suite cuando regrese.",0,Dizzamn bien le preguntaré a mis compañeros de suite cuando regrese.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
"¿Por qué debemos sentarnos y esperar los días de verano para celebrar? Qué visión tan mágica cuando los mundos se visten de blanco. Ooooh, que haya nieve.",0,Por qué debemos sentarnos y esperar los días de verano para celebrar Qué visión tan mágica cuando los mundos se visten de blanco. Ooooh que haya nieve.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
Por favor llámame papá. Qué sucedió.,0,Por favor llámame papá. Qué sucedió.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
¿Estás despierto? ¿Hay nieve allí?,0,Estás despierto Hay nieve allí,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
No. Desde que Ayo viajó se olvidó de su chico.,0,No. Desde que Ayo viajó se olvidó de su chico.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']"
