message,label
"Cuesta 6 libras entrar, ¿está bien?",ham
R U &SAM P EL UNO EN EL OTRO. SI NOS ENCONTRAMOS PODEMOS IR 2 A MI CASA,ham
"Por favor, no le impida comer nada que le guste durante los próximos dos días.",ham
Significa que no pudiste cumplir tus palabras.,ham
"Como quiero un descuento para oficiales de aduanas, oh.",ham
"¡Nos vemos entonces, aquí estamos todos navideños!",ham
Estoy atrapado en el medio de la fila en el lado derecho de la calle...,ham
¿Durmió? Creo que esta vez (&lt;#&gt; pm) no es peligrosa.,ham
"Hola, ¿estás por aquí? Tengo suficiente para la mitad + los diez que te debo",ham
"Entonces, ¿cuál es tu opinión sobre él y cuál es su carácter?",ham
¿Cómo?,ham
"Aún no estoy seguro, sigo intentando comunicarme con él.",ham
Estoy en el trabajo. Por favor llama,ham
¿Qué clase de &lt;#&gt; ¿reunión?,ham
No puedo contestar el teléfono en este momento. Por favor envía un mensaje,ham
"No estoy trabajando, pero estoy al tanto de la filosofía, así que te enviaré un mensaje de texto más tarde cuando estés un poco más libre para charlar...",ham
"Sé cómo estás, espero que estés bien, todo sobre ti durante 2 días. Te amo y te extraño. Cuídate.",ham
Solo tengo curiosidad porque mi primo me preguntó qué estaba haciendo.,ham
Consulta con nuerólogo.,ham
"Mm le pides que venga, es suficiente :-)",ham
"Entonces, ¿quieres venir a cenar esta noche?",ham
"Recibí tu correo Dileep. Muchas gracias y espero mucho apoyo... muy pocos contactos aquí, recuerda un venugopal que mencionaste. Mañana, si no es tarde, intentaré llegar hasta allí. Buenas noches, querida.",ham
Gud ni8.swt drms.cuídate,ham
¿Estás despierto? ¿Hay nieve allí?,ham
Mi querida hermana. Cómo estás. ¿Cuándo se reanudarán las clases? ¿Existe un período mínimo de espera antes de volver a presentar la solicitud? cuidate,ham
¿Ver? Lo pensé todo,ham
"Hola amigo, ¿cuál es la mejor manera de evitar malentendidos con nuestro ser querido?",ham
"Oh, simplemente vengarme de ti... ¿tú?",ham
La mayor prueba de coraje en la tierra es soportar la derrota sin desanimarse....gn tc,ham
Ya he llegado.,ham
"Sí, probablemente antes de eso.",ham
"Tienes razón. Mientras tanto, ¿cómo va el proyecto gemelos?",ham
"Da es un buen jugador, por eso no está vendido.",ham
"Él lo hará, ¿ustedes cierran?",ham
U wan 2 medio almuerzo. Estoy en la cantina ahora.,ham
"Gracias de nuevo por tu respuesta de hoy. ¿Cuándo llegará tu visa? Y todavía estás comprando el gucci y los bolsos. Las cosas de mi hermana no son fáciles, el tío john también tiene sus propias facturas así que realmente necesito pensar en cómo ganar mi propio dinero. Más tarde sha.",ham
"Hola señor y yo vamos a ir a la vista al mar y tener un par de gays, ¡me refiero a juegos! Dame una campana cuando termines",ham
¿Todavía estás recibiendo los productos?,ham
No sé lei... Podría estar comiendo con mis amigos... Si quiero comer entonces espero 4 Ì_ lar,ham
Ranjith cal drpd Deeraj y deepak 5 minutos de espera,ham
¿Has tenido noticias de esta semana?,ham
Probablemente estaré mañana (o incluso más tarde esta noche si sucede algo),ham
A las 7 nos vamos ok na.,ham
Hola envíame un mensaje :)Estoy en la oficina..,ham
HIYA STU WOT U UP 2.ESTOY EN TANTOS PROBLEMAS EN CASA EN EL MOMENTO EVONE ME ODIA INCLUSO U! ¿QUÉ DEMONIOS HE HECHO AHORA? Y NO ME DIRÁS TEXTO BCK POR FAVOR LUV DAN,ham
Gracias por estar ahí para mí sólo para hablar el sábado. Tu eres muy querido para mi. Aprecio tenerte como hermano y modelo a seguir.,ham
LOL lo que pasa en Las Vegas se queda en Las Vegas,ham
"Hai priya, ¿tienes razón? Lo que dijo el doctor pa. Dónde estás.",ham
Y cuando hayas terminado me refiero a ahora,ham
¡Solo espero que sea cierto que me extrañas porque realmente lo extraño a él! Aún no has hecho nada por lo que sentirte culpable.,ham
Gran NUEVA Oferta: DOBLE Minutos y DOBLE Texto con las mejores tarifas de Orange ¡Y obtenga los últimos teléfonos con cámara 4 GRATIS! ¡Llame a MobileUpd8 gratis al 08000839402 AHORA! o 2stoptxt Términos y condiciones,spam
"Esta es la segunda vez que intentamos contactarte. Has ganado el premio de 750 libras. 2 reclamar es fácil, llama al 08712101358 YA! Sólo 10 peniques por minuto. BT-tarifa-nacional",spam
"TheMob> Echa un vistazo a nuestra selección más reciente de contenido, juegos, tonos, chismes, chicas y deportes. Mantén tu móvil en forma y envía mensajes de texto originales mediante WAP al 82468.",spam
"CD 4u: Felicitaciones, recibió 500 £ en vales de regalo de CD o 125 £ de regalo garantizado y entrada gratuita 2. Sorteo semanal de 100 £ xt MUSIC a 87066 TnC www.ldew.com1win150ppmx3age16",spam
"¿Crees que eres inteligente? Gana £200 esta semana en nuestro cuestionario semanal, envía un mensaje de texto con PLAY al 85222 ahora. Términos y condiciones WinnersClub PO BOX 84, M26 3UZ. 16+. 1,50 GBP/semana",spam
"Mensaje gratuito: Reclame sus 250 mensajes SMS. Envíe un mensaje de texto con OK al 84025 ahora. Utilice web2mobile con sus amigos, etc. Únase a Txt250.com por 1,50 p/semana. T&C BOX139, LA32WU. dieciséis . Eliminar txtX o detener",spam
¡PRIVADO! Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,spam
URGENTE Este es nuestro segundo intento de comunicarnos con U. Su premio de £ 900 de AYER todavía está pendiente de ser recogido. Para reclamar LLAMA YA 09061702893,spam
Update_Now - Alquiler de línea naranja a mitad de precio por 12 meses: 400 minutos...Llame a MobileUpd8 al 08000839402 o call2optout=J5Q,spam
Nuestro nuevo servicio de música móvil ya está disponible. El reproductor de música gratuito llegará en breve. Simplemente instálelo en su teléfono para buscar contenido de los mejores artistas.,spam
"Urgent UR otorgó un viaje de cortesía a EuroDisinc Trav, Aco&Entry41 o å£1000. Para reclamar, envíe un mensaje de texto DIS al 87121 18+6*å £1,50 (moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
