text,label,mensaje_limpio,tokens,score,prediccion,tokens_reducidos,acepta_glc,clasificacion
R U &SAM P EL UNO EN EL OTRO. SI NOS ENCONTRAMOS PODEMOS IR 2 A MI CASA,ham,R U SAM P EL UNO EN EL OTRO. SI NOS ENCONTRAMOS PODEMOS IR 2 A MI CASA,"['WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS']",7,spam,"[""text"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""caps"", ""caps"", ""text"", ""caps""]",False,Spam Atípico
HIYA STU WOT U UP 2.ESTOY EN TANTOS PROBLEMAS EN CASA EN EL MOMENTO EVONE ME ODIA INCLUSO U! ¿QUÉ DEMONIOS HE HECHO AHORA? Y NO ME DIRÁS TEXTO BCK POR FAVOR LUV DAN,ham,HIYA STU WOT U UP 2.ESTOY EN TANTOS PROBLEMAS EN CASA EN EL MOMENTO EVONE ME ODIA INCLUSO U QUÉ DEMONIOS HE HECHO AHORA Y NO ME DIRÁS TEXTO BCK POR FAVOR LUV DAN,"['CAPS', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'CAPS', 'CAPS', 'CAPS', 'CAPS', 'CAPS', 'CAPS', 'CAPS']",22,spam,"[""caps"", ""caps"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""caps"", ""text"", ""caps"", ""caps"", ""text"", ""caps"", ""caps"", ""text"", ""caps"", ""caps"", ""text"", ""caps"", ""caps"", ""caps"", ""caps"", ""caps"", ""caps"", ""caps""]",False,Spam Atípico
Gran NUEVA Oferta: DOBLE Minutos y DOBLE Texto con las mejores tarifas de Orange ¡Y obtenga los últimos teléfonos con cámara 4 GRATIS! ¡Llame a MobileUpd8 gratis al 08000839402 AHORA! o 2stoptxt Términos y condiciones,spam,Gran NUEVA Oferta: DOBLE Minutos y DOBLE Texto con las mejores tarifas de Orange Y obtenga los últimos teléfonos con cámara 4 GRATIS Llame a MobileUpd8 gratis al 08000839402 AHORA o 2stoptxt Términos y condiciones,"['WORD', 'CAPS', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",8,spam,"[""text"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""text"", ""contact"", ""caps"", ""text""]",False,Spam Atípico
¡PRIVADO! Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,spam,PRIVADO Su estado de cuenta de 2003 muestra 800 tarjetas SIM no canjeadas. puntos. Llamar 08718738001 Código Identificador: 49557 Vence el 26/11/04,"['CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",5,spam,"[""caps"", ""text"", ""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
URGENTE Este es nuestro segundo intento de comunicarnos con U. Su premio de £ 900 de AYER todavía está pendiente de ser recogido. Para reclamar LLAMA YA 09061702893,spam,URGENTE Este es nuestro segundo intento de comunicarnos con U. Su premio de 900 de AYER todavía está pendiente de ser recogido. Para reclamar LLAMA YA 09061702893,"['CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'PHONE']",6,spam,"[""caps"", ""text"", ""caps"", ""text"", ""caps"", ""text"", ""contact""]",False,Spam Atípico
MENSAJE GRATIS Activa tus 500 Mensajes de Texto GRATIS respondiendo este mensaje con la palabra GRATIS Para términos y condiciones visita www.07781482378.com,spam,MENSAJE GRATIS Activa tus 500 Mensajes de Texto GRATIS respondiendo este mensaje con la palabra GRATIS Para términos y condiciones visita www.07781482378.com,"['CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'URL']",6,spam,"[""caps"", ""caps"", ""text"", ""caps"", ""text"", ""caps"", ""text"", ""contact""]",False,Spam Atípico
"Hola, soy LUCY, mi esposo está en reuniones todo el día el viernes y yo estaremos solos en el hotel. ¿Te apetece comer comino? Por favor, deje un mensaje 2 días 09099726395 Lucy x Callså£1/minMobsmoreLKPOBOX177HP51FL",spam,Hola soy LUCY mi esposo está en reuniones todo el día el viernes y yo estaremos solos en el hotel. Te apetece comer comino Por favor deje un mensaje 2 días 09099726395 Lucy x Callså 1/minMobsmoreLKPOBOX177HP51FL,"['WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",4,spam,"[""text"", ""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
Mensaje gratis: ¡Tono de llamada! De: http://tms. www.widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,spam,Mensaje gratis: Tono de llamada De: http://tms. www.widelive.com/index. wml id 1b6a5ecef91ff9 37819 first true18:0430 JUL 05,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'URL', 'URL', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD']",5,spam,"[""text"", ""contact"", ""contact"", ""text"", ""caps"", ""text""]",False,Spam Atípico
"¡URGENTE! ¡Su móvil número 07xxxxxxxxx ganó un premio adicional de £ 2000 para quien llamó el 06/02/03! ¡Este es el segundo intento de comunicarnos con USTED! llama al 09066362231 lo antes posible! CAJA97N7QP, 150PPM",spam,URGENTE Su móvil número 07xxxxxxxxx ganó un premio adicional de 2000 para quien llamó el 06/02/03 Este es el segundo intento de comunicarnos con USTED llama al 09066362231 lo antes posible CAJA97N7QP 150PPM,"['CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",5,spam,"[""caps"", ""text"", ""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
FreeMsg: Me siento un poco. Sólo espero que te guste. ¡Hazme compañía! ¿Tienes una cámara? ¿Quieres ver mi foto? Envía un mensaje de texto o responde FECHA al 82242 Msg150p 2rcv Hlp 08712317606 pasa al 82242,spam,FreeMsg: Me siento un poco. Sólo espero que te guste. Hazme compañía Tienes una cámara Quieres ver mi foto Envía un mensaje de texto o responde FECHA al 82242 Msg150p 2rcv Hlp 08712317606 pasa al 82242,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'PHONE', 'WORD', 'WORD', 'WORD']",4,spam,"[""text"", ""caps"", ""text"", ""contact"", ""text""]",False,Spam Atípico
