text,label,mensaje_limpio,tokens,score,prediccion
"Cuesta 6 libras entrar, ¿está bien?",ham,Cuesta 6 libras entrar está bien,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
R U &SAM P EL UNO EN EL OTRO. SI NOS ENCONTRAMOS PODEMOS IR 2 A MI CASA,ham,R U SAM P EL UNO EN EL OTRO. SI NOS ENCONTRAMOS PODEMOS IR 2 A MI CASA,"['WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'WORD', 'CAPS', 'WORD', 'CAPS', 'CAPS', 'CAPS', 'WORD', 'WORD', 'WORD', 'WORD', 'CAPS']",7,spam
"Por favor, no le impida comer nada que le guste durante los próximos dos días.",ham,Por favor no le impida comer nada que le guste durante los próximos dos días.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Significa que no pudiste cumplir tus palabras.,ham,Significa que no pudiste cumplir tus palabras.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Como quiero un descuento para oficiales de aduanas, oh.",ham,Como quiero un descuento para oficiales de aduanas oh.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"¡Nos vemos entonces, aquí estamos todos navideños!",ham,Nos vemos entonces aquí estamos todos navideños,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Estoy atrapado en el medio de la fila en el lado derecho de la calle...,ham,Estoy atrapado en el medio de la fila en el lado derecho de la calle...,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¿Durmió? Creo que esta vez (&lt;#&gt; pm) no es peligrosa.,ham,Durmió Creo que esta vez lt gt pm no es peligrosa.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Hola, ¿estás por aquí? Tengo suficiente para la mitad + los diez que te debo",ham,Hola estás por aquí Tengo suficiente para la mitad los diez que te debo,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
"Entonces, ¿cuál es tu opinión sobre él y cuál es su carácter?",ham,Entonces cuál es tu opinión sobre él y cuál es su carácter,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¿Cómo?,ham,Cómo,['WORD'],0,ham
"Aún no estoy seguro, sigo intentando comunicarme con él.",ham,Aún no estoy seguro sigo intentando comunicarme con él.,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
Estoy en el trabajo. Por favor llama,ham,Estoy en el trabajo. Por favor llama,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
¿Qué clase de &lt;#&gt; ¿reunión?,ham,Qué clase de lt gt reunión,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
No puedo contestar el teléfono en este momento. Por favor envía un mensaje,ham,No puedo contestar el teléfono en este momento. Por favor envía un mensaje,"['WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD', 'WORD']",0,ham
